product_id,name,category,material,color,style,price,rating
P0001,Vintage Glass Table,Table,Glass,Brown,Vintage,22624,4.2
P0002,Industrial Wood Wardrobe,Wardrobe,Wood,Brown,Industrial,29794,4.3
P0003,Industrial Wood Bed,Bed,Wood,Blue,Industrial,52950,3.6
P0004,Industrial Wood Wardrobe,Wardrobe,Wood,Grey,Industrial,32091,4.1
P0005,Minimalist Glass Bed,Bed,Glass,Brown,Minimalist,59310,4.4
P0006,Minimalist Metal Chair,Chair,Metal,Beige,Minimalist,2478,3.3
P0007,Vintage Fabric Chair,Chair,Fabric,Beige,Vintage,8023,5.0
P0008,Contemporary Fabric Wardrobe,Wardrobe,Fabric,Beige,Contemporary,30563,4.1
P0009,Industrial Leather Table,Table,Leather,Black,Industrial,24422,4.4
P0010,Vintage Glass Sofa,Sofa,Glass,Beige,Vintage,72918,4.0
P0011,Industrial Fabric Bed,Bed,Fabric,Beige,Industrial,21352,3.8
P0012,Contemporary Fabric Bed,Bed,Fabric,Brown,Contemporary,55277,3.2
P0013,Contemporary Fabric Chair,Chair,Fabric,Black,Contemporary,6299,3.3
P0014,Contemporary Fabric Wardrobe,Wardrobe,Fabric,Brown,Contemporary,26808,4.4
P0015,Vintage Metal Chair,Chair,Metal,Beige,Vintage,3194,3.4
P0016,Modern Wood Bed,Bed,Wood,Beige,Modern,37559,3.3
P0017,Modern Metal Chair,Chair,Metal,Black,Modern,9885,4.2
P0018,Vintage Fabric Chair,Chair,Fabric,Beige,Vintage,8227,4.8
P0019,Minimalist Wood Table,Table,Wood,Brown,Minimalist,21678,3.0
P0020,Vintage Wood Wardrobe,Wardrobe,Wood,Blue,Vintage,37014,4.5
P0021,Industrial Fabric Chair,Chair,Fabric,Black,Industrial,6176,4.0
P0022,Contemporary Leather Wardrobe,Wardrobe,Leather,Grey,Contemporary,37817,4.2
P0023,Modern Leather Bed,Bed,Leather,Blue,Modern,56647,4.0
P0024,Minimalist Wood Table,Table,Wood,White,Minimalist,7637,4.9
P0025,Contemporary Wood Bed,Bed,Wood,White,Contemporary,31211,4.5
P0026,Contemporary Fabric Table,Table,Fabric,Beige,Contemporary,24136,4.5
P0027,Modern Metal Table,Table,Metal,Brown,Modern,10091,3.5
P0028,Minimalist Metal Table,Table,Metal,Black,Minimalist,13581,4.9
P0029,Industrial Leather Wardrobe,Wardrobe,Leather,Blue,Industrial,24026,3.9
P0030,Contemporary Glass Sofa,Sofa,Glass,Brown,Contemporary,25779,4.9
P0031,Contemporary Leather Wardrobe,Wardrobe,Leather,Grey,Contemporary,24391,3.8
P0032,Industrial Leather Table,Table,Leather,Brown,Industrial,11865,3.2
P0033,Industrial Fabric Bed,Bed,Fabric,Black,Industrial,55998,3.0
P0034,Minimalist Wood Wardrobe,Wardrobe,Wood,Black,Minimalist,30744,3.5
P0035,Contemporary Wood Chair,Chair,Wood,White,Contemporary,5721,4.3
P0036,Modern Glass Sofa,Sofa,Glass,Beige,Modern,64402,4.8
P0037,Minimalist Glass Table,Table,Glass,Brown,Minimalist,11773,5.0
P0038,Industrial Metal Sofa,Sofa,Metal,Black,Industrial,77676,3.7
P0039,Minimalist Glass Chair,Chair,Glass,White,Minimalist,3537,4.2
P0040,Industrial Wood Chair,Chair,Wood,Black,Industrial,8999,3.4
P0041,Minimalist Metal Table,Table,Metal,Brown,Minimalist,5328,3.1
