product_id,name,category,material,color,style,price,rating
P0001,Modern Fabric Chair,Chair,Fabric,Blue,Modern,7757,3.9
P0002,Modern Fabric Table,Table,Fabric,White,Modern,9958,4.4
P0003,Vintage Wood Sofa,Sofa,Wood,Black,Vintage,41204,4.2
P0004,Vintage Fabric Chair,Chair,Fabric,Grey,Vintage,9129,3.4
P0005,Vintage Glass Wardrobe,Wardrobe,Glass,Brown,Vintage,42640,3.4
P0006,Contemporary Fabric Chair,Chair,Fabric,Brown,Contemporary,3668,3.3
P0007,Industrial Leather Table,Table,Leather,Brown,Industrial,10353,4.0
P0008,Minimalist Wood Wardrobe,Wardrobe,Wood,White,Minimalist,41924,4.9
P0009,Minimalist Glass Wardrobe,Wardrobe,Glass,Beige,Minimalist,23151,4.0
P0010,Industrial Glass Table,Table,Glass,Brown,Industrial,20620,4.7
P0011,Contemporary Glass Chair,Chair,Glass,Beige,Contemporary,6579,3.7
P0012,Industrial Metal Sofa,Sofa,Metal,Black,Industrial,76575,4.9
P0013,Minimalist Glass Chair,Chair,Glass,Black,Minimalist,6859,4.5
P0014,Modern Wood Chair,Chair,Wood,Blue,Modern,6307,4.2
P0015,Modern Glass Chair,Chair,Glass,Black,Modern,2673,4.0
P0016,Vintage Fabric Table,Table,Fabric,Beige,Vintage,18628,4.6
P0017,Vintage Fabric Bed,Bed,Fabric,Grey,Vintage,15276,4.7
P0018,Industrial Glass Table,Table,Glass,Grey,Industrial,22996,3.8
P0019,Contemporary Glass Table,Table,Glass,Blue,Contemporary,8900,4.5
P0020,Minimalist Leather Wardrobe,Wardrobe,Leather,Grey,Minimalist,26299,3.7
P0021,Vintage Leather Bed,Bed,Leather,Blue,Vintage,28919,4.5
P0022,Vintage Fabric Wardrobe,Wardrobe,Fabric,Brown,Vintage,40332,4.8
P0023,Industrial Leather Chair,Chair,Leather,Brown,Industrial,4941,3.8
P0024,Vintage Leather Chair,Chair,Leather,Brown,Vintage,3404,4.7
P0025,Modern Metal Sofa,Sofa,Metal,White,Modern,68219,3.3
P0026,Contemporary Glass Sofa,Sofa,Glass,Black,Contemporary,65574,3.0
P0027,Contemporary Leather Wardrobe,Wardrobe,Leather,Blue,Contemporary,39728,3.1
P0028,Modern Metal Table,Table,Metal,Brown,Modern,19000,4.6
P0029,Modern Leather Wardrobe,Wardrobe,Leather,Blue,Modern,10659,3.4
P0030,Modern Metal Wardrobe,Wardrobe,Metal,White,Modern,25152,3.1
P0031,Minimalist Leather Table,Table,Leather,White,Minimalist,15290,4.8
P0032,Modern Wood Bed,Bed,Wood,Beige,Modern,57511,3.2
P0033,Vintage Wood Table,Table,Wood,Grey,Vintage,19705,4.9
P0034,Minimalist Glass Bed,Bed,Glass,Blue,Minimalist,34107,4.1
P0035,Vintage Fabric Sofa,Sofa,Fabric,White,Vintage,25186,4.5
P0036,Modern Wood Chair,Chair,Wood,Blue,Modern,8922,4.6
P0037,Minimalist Wood Chair,Chair,Wood,Blue,Minimalist,3305,3.2
